database_identifier	chemical_formula	metabolite_identification	101	102	103	104	105	106	107	201	202	203	204	205	206	207	301	302	303	304	305	306	307	308	401	402	403	404	405	406	407	408	409	410	411	412	413	414	415	416	417	418	419	420	421	422	423	424	425	426	427	428	429	430
(R)-3-Hydroxybutyric acid		(R)-3-Hydroxybutyric acid	93635.8643092105	126842.124794408	94315.5121299342	111034.508634868	144183.016447368	82207.4679276316	107770.0703125	128926.040707237	112261.430098684	133899.734786184	156731.531661184	159967.957236842	170169.588404605	155230.486842105	138548.138157895	126348.773848684	141254.439967105	159991.005756579	192729.795230263	134034.706003289	162859.683799342	111329.842105263	118311.581003289	130358.717927632	163990.520353618	135676.053453947	110141.443667763	185238.680509868	188549.604851974	127908.068667763	141994.548930921	199384.040707237	121476.635690789	120376.624588816	124571.766447368	146259.182976974	146170.291940789	131626.127055921	134399.416529605	174726.281661184	176911.189967105	127288.524259868	122350.303453947	152715.912417763	121883.496299342	174337.197779605	126454.416529605	137238.28125	145802.466282895	158935.780427632	124467.524671053	209660.615131579
2-Hydroxybutyric acid		2-Hydroxybutyric acid	298650.957147436	376538.047719017	324123.254423077	340853.200694444	351855.02772703	245677.581089744	352414.233851496	327200.49927884596	358464.57775373897	316896.653496261	346060.73911859	349030.48795940203	353445.906971154	394579.827849893	379226.308683226	354681.73032318405	358664.31602564105	404800.706965812	448507.304027778	376237.204700854	409148.12417734996	352693.328098291	331831.495635684	324201.410040064	406625.07732906	386696.469583334	351836.131233974	418279.388846154	415842.251207265	418930.719129274	380233.832724359	459126.890133547	377654.705507479	368214.89506944397	361100.653226496	385162.091255342	389120.93691773503	391957.277110043	360984.89613247896	475656.396770833	427828.028279915	349253.042163461	349228.343942307	371674.548285256	356341.232425214	412160.055432692	366936.525550213	373880.282948718	410464.411228633	404164.02383546997	385269.08534188103	466181.114038462
4-hydroxyphenylpropionate		4-hydroxyphenylpropionate	237974.99112099808	244495.992649472	333618.4068323404	241585.3865271026	225057.8471821746	193574.55192642912	248811.7440488358	159258.501272272	287627.7911316221	383031.1608535788	234322.82570553268	281358.168208814	269956.73733915086	282377.85613514547	304129.1972108208	228075.0754177247	240988.1224204893	296733.3692135854	235034.7407047528	288788.6851410528	240293.13429457552	193358.3127003891	216305.80842093052	235830.5797657733	243050.4198852269	265013.1432071997	235113.4758510506	240601.678209459	204268.75925153878	239875.1797399511	209230.25795236902	318288.0966307665	261707.1327896367	215942.29010613958	241943.9072142907	231968.90256364067	244410.0365300615	207113.41418354012	201768.042366909	238003.3983447022	171044.6196634529	200571.9792832242	273936.3198471663	320839.72811182	258930.67679193913	331169.5687591455	256961.361774294	265874.4137760375	218462.2512884098	214486.27558395383	316808.6265883222	221992.1365398788
Choline		Choline	21946.2329009434	26515.5012971698	25672.7590212264	18738.2299528302	23649.3087853774	22154.591745283	23402.1069575472	19587.8933962264	30028.722995283	27910.9925707547	21652.6211084906	34912.2924528302	26919.4642099057	25387.2132075472	11940.0260613208	10456.178125	10830.4574292453	15969.784375	10279.5679834906	12957.2995283019	9983.5681603774	10682.9619103774	9986.8076650943	10012.7975235849	8842.9525943396	11997.616509434	9015.5132075472	12370.5840801887	9946.1168632076	12128.9549528302	10702.9599056604	8998.7678066038	11833.3035377358	12037.2821933962	9579.9820754717	10893.5636792453	11901.9393867925	10559.8475235849	11835.7423349057	13367.291745283	8812.9009433962	9569.7694575472	11040.6162735849	10960.952004717	12067.8333726415	13279.4487028302	12258.0337264151	12052.6293632075	9439.1514150943	9430.1666273585	12385.2955188679	11860.5144457547
Creatine		Creatine	101911.2335526316	100783.0279546523	111709.0924400846	109331.8600446429	116625.0787828947	95395.7463698308	105037.1796346334	108062.7590108082	112807.3897203947	122636.6499882518	125441.9505169173	127952.19443139099	134996.39775610899	130669.8457882989	113210.0101797462	111438.18647791349	116357.06082001879	138893.9372885339	124702.4487194549	113048.9471217105	135584.81863251879	97870.9046052632	101830.271087876	112643.2548637218	117648.9615249061	118465.0316964286	102859.76887922929	141018.5301456764	129234.98130874061	127189.16542528188	115674.76919642859	162283.23888627812	120384.4201480263	119362.6011865602	109080.1200305451	122295.7571546053	129482.265918703	118549.9851738722	119062.6908482143	140951.4746005639	117647.12198073309	107978.4034304511	116444.3519031955	144256.4211231203	118374.5496828008	144185.8821663534	102548.1031132518	122435.82710291349	132430.2357495301	116718.9056390977	109231.14379699249	139205.7155603853
Creatinine		Creatinine	188021.115131579	245880.214226974	206969.433388158	255244.202302632	250701.778782895	155737.372532895	242081.536184211	196402.037828947	250021.517269737	176992.469572368	229177.954358553	289926.098684211	239333.771381579	213552.416118421	225444.360197368	208072.612253289	253932.363486842	269567.995065789	250364.183799342	247486.732730263	248059.389802632	192507.527138158	176826.041118421	207292.96875	218495.928042763	219532.348684211	197742.194078947	252398.757401316	222106.75	247768.049342105	212122.203125	239774.694901316	205387.994243421	193444.237664474	214471.103618421	221362.622532895	292947.243421053	245146.104440789	203828.485197368	253132.603207237	249714.333881579	202068.451480263	204802.425986842	251087.114309211	233689.816611842	245522.883223684	227440.882401316	203096.909539474	220711.699013158	211371.219572368	222367.183388158	282949.953536184
D-Glucose		D-Glucose	3798513.280782784	4591672.814970987	4759536.305554217	3813268.2181373592	4904650.291399903	3282782.793970137	4309125.807153852	3224643.247700139	5164269.5051161265	5936471.459141944	4020704.3390160943	5755933.256673822	4498822.232499683	4405864.942055218	4989375.720290906	4108284.7433880563	4451464.538591015	5007781.36697013	4907209.368531901	5654557.741210359	5034337.365287955	3788173.0571043314	4156856.3787114266	4221751.812177208	4446677.47343706	4292348.667017369	4145704.9415537096	4445673.339830367	4507197.769525267	5543410.880249078	4779272.496641475	5718714.126785885	5919058.785686289	4332818.153139049	4345809.715723977	4840217.174543283	5110902.108517634	4507501.27502269	4159167.298615033	5649123.14263285	4255598.70127903	4109914.077559383	4472164.711192345	5186500.230989575	4826491.448923039	6288753.25832004	4302574.391609803	4804921.494858027	4502173.4948365465	4440100.604723843	4881226.572554452	4841125.4811655665
D-Mannose		D-Mannose	19027.6225961538	20278.2576121795	34570.3914262821	24512.3353365385	28844.9977964744	17264.1109775641	23466.7051282051	19344.0837339744	26812.5122195513	57791.6157852564	25332.2201522436	30745.328525641	38614.6766826923	26817.0048076923	39743.765224359	23081.5384615385	37413.3898237179	39382.1496394231	29804.4142628205	37701.2872596154	32573.3229166667	21575.4006410256	26732.3946314103	33814.8369391026	25433.1051682692	24783.2848557692	21275.1133814103	33093.7776442308	23766.9282852564	30202.0905448718	25392.3713942308	43396.6426282051	32680.5701121795	19451.5452724359	38658.3621794872	27239.3982371795	35549.8209134615	25973.5456730769	27825.7552083333	36928.0318509615	19040.577724359	20622.6506410256	29592.5721153846	43896.5008012821	26830.265625	45728.8950320513	31379.3201121795	30886.4054487179	23409.2007211538	24538.1137820513	30245.9783653846	29757.5190304487
Glucaric acid		Glucaric acid	286727.5166441443	363437.5463963967	309477.45936936967	354779.40524774767	368390.549966216	242481.7736036033	348612.5729279283	312106.91522522527	363255.523918919	312895.2436261257	355346.7122072077	419837.372072072	379781.04045045096	341327.31902027	382772.465213964	355430.077702703	386293.767702703	408442.599470721	454910.741272522	408629.8236261257	422842.749211711	324580.87033783796	311476.1814414413	342183.732871622	393350.544335586	361542.1599549553	318444.874594595	422951.929617117	391103.467477478	395622.7898198193	358879.759864865	434687.060990991	342489.04472973	330011.6520720717	354393.79686937	379198.75132882904	445057.382837838	408193.23585585575	341371.3952477477	405782.16831081104	464635.076036036	331434.15662162204	337540.55072072067	394840.17675675696	382688.40630630625	402845.086306306	373309.95094594604	358342.807027027	366367.355225225	383090.651891892	371217.0456981983	502609.74438062997
L-Histidine		L-Histidine	178483.1858495923	220240.7765529029	221266.52065920932	201958.0308553857	244972.931257346	148620.8358790449	197248.28150375182	199695.72858534107	235831.88293324638	312056.7033971604	216298.58909941508	287952.9987807849	246805.31484306118	238796.2644628798	229627.7868098401	169824.6738444027	189478.90686685411	199200.6559482367	231002.12220543472	220896.31448190397	211167.3261466077	144006.859497024	167685.9108839462	182580.8706329079	190684.2385335946	196711.90532398352	153166.4331842471	236856.3544655618	200606.2062652994	193420.1632094168	173970.4465016045	266659.6972560521	211259.2960745187	164006.1273681854	156141.0481863292	176015.87569955149	194861.8142381403	177544.10435892228	197335.69872343488	235496.1512563756	183662.4437982766	171302.53185584839	197264.5996032869	214118.8898408078	158101.98146332632	277933.7011295251	174982.8816950493	170939.3071184106	165908.3071449286	185276.6519140919	188217.2779169294	227461.18113519228
L-Lactic acid		L-Lactic acid	181374.67641129	243240.303931452	216639.27671371	227799.806451613	241485.011592742	150331.652217742	227087.578629032	189059.414314516	231997.486895161	172029.541330645	214209.07358871	239887.743951613	220096.386592742	217057.627520161	236087.720766129	211841.255544355	225372.510080645	247427.138608871	269866.474798387	262861.341733871	252044.199596774	200285.022177419	197803.831653226	201279.71875	238652.672379032	218522.317540323	200087.30141129	248804.171370968	232317.795362903	257741.147177419	229440.047379032	264356.558467742	223463.251008065	213877.340725806	214736.623991935	235631.194556452	266855.724798387	249970.295362903	208086.894153226	228553.441028226	264140.47983871	214197.420362903	208282.668346774	237041.451612903	230591.666330645	242510.563508065	229204.563508065	213053.591733871	228592.247983871	243142.021169355	228825.672379032	283595.039818548
L-Lysine		L-Lysine	819885.86637931	776055.096982759	1233869.27873563	601916.373922414	875244.375179598	640859.980244253	832844.183548851	488033.08908046	983635.031609195	1898620.94019397	730019.110811782	1223570.11566092	1038728.39403736	849131.764906609	1108822.44647989	607081.945222701	670195.737428161	832104.466594828	780280.472880747	1198208.65732759	995063.654454023	504127.16558908	799331.826867816	690345.662895115	790759.073635057	782082.087284483	665654.862787356	775395.627514368	634751.141163793	798787.425287356	714518.251077586	1350768.52442529	880923.452586207	597286.286637931	646724.27262931	588099.461206897	795874.264367816	799360.705818966	713267.036278736	1125639.98994253	498586.436063218	573024.063577586	927189.322198276	1258970.56716954	654531.927801724	1421410.25323276	836882.536997126	768422.789511494	619125.332255747	744464.260775862	887484.094109195	634848.861889368
L-Phenylalanine		L-Phenylalanine	25497.987190772998	20778.5380375366	19167.206611117	18170.4883046958	21944.6206188998	22244.161529210898	18600.5896508119	24844.4353457826	20821.7974495478	26704.6946071933	29089.4730832973	20098.0826821644	30864.1826819155	22557.281640351197	14916.2936428759	15918.6169954488	21379.2617427936	18971.7098733056	25898.0881000825	16745.3911923394	27788.218937392	22317.6626918509	18748.6530451295	15397.931046326801	21413.8397443464	17720.683448269003	12822.6964590528	26870.7520174811	30197.6681497689	19979.7115258571	20586.6838865036	42118.435149376	18243.2367536756	17725.738958031798	21036.0163487785	25735.3265954531	29258.97063521	18806.3107166767	19507.4652904354	17785.1560207535	24936.8094494036	15459.43336056	14089.767342792	32053.9373855125	14676.6029479407	19811.8596497651	16850.9652575502	23235.4579338988	29027.464596905702	19961.1281347964	15869.187664393701	32543.2614988103
L-Proline		L-Proline	21417.2105106888	22529.2661817102	27207.5604216152	28500.6079275534	29044.6626336105	19122.8895486936	28259.4991092637	24404.5440914489	24377.0769002375	23378.169388361	24824.9171615202	21635.6633016627	24634.5153652019	24746.8807897862	33881.2452494062	30539.9015736342	38280.1209916865	38215.9382422803	36576.5050475059	32706.9315617577	35388.9588776722	32568.3464964371	31939.2684085511	30928.5115053444	34437.0251633017	36193.0372624703	36239.3464964371	35714.8822743468	36482.7020486936	40325.2262470309	34400.3472387173	39053.3319477435	37087.6371733967	36277.229216152	32154.0002969121	31861.2419833729	39752.8163598575	36164.4290380048	36565.6633016627	48842.5094269596	29341.2410926366	30943.343675772	32934.0059382423	37809.4161223278	32661.5945665083	44150.7878562945	30661.9205760095	29982.2225356295	36253.7200118765	30770.3472387173	33045.0947149644	33763.880195962
L-Threonine		L-Threonine	30773.2935697115	31127.7058293269	34127.5868389423	32426.1084735577	35166.6714242788	23521.4639423077	36430.70703125	31765.1454326923	36018.591796875	28871.0414663462	29989.6096754808	22983.2307692308	32390.0135216346	36703.5674579327	40822.5788762019	37065.365234375	40331.8819110577	44740.0603966346	37998.5168269231	38313.6051682692	40400.0832331731	41166.5504807692	37900.2800480769	38249.6449819712	38063.5022536058	40434.7175480769	37832.3653846154	40382.1454326923	37895.3064903846	46160.3629807692	46455.3801081731	41542.5294471154	50017.6159855769	44452.33984375	34895.3900240385	38357.6911057692	39985.7469951923	40487.4119591346	38573.0871394231	37254.4326923077	35421.1075721154	36604.3413461538	36009.9215745192	35576.4780649038	40220.4891826923	39533.7623197115	37261.1039663462	36609.5258413462	42270.9942908654	36487.1307091346	38381.1006610577	39048.6167367788
L-Tyrosine		L-Tyrosine	20335.4593531271	32459.1409904888	21671.8102982474	24404.3693342177	22527.8613220394	15517.9116420185	21462.0709658642	27098.6677509031	21673.0432568017	23273.6315004798	22419.3641806841	27676.3476461955	24517.960041064598	25081.2881604199	80249.1377663553	33104.1808746331	35988.1979566494	32297.8042680345	39253.2622421117	36858.305253019804	37642.7171377569	31229.4492330379	34410.7951145857	33589.154189715504	37110.3603832694	36007.686080379404	34644.021129910805	41738.631608433	37624.3705266426	36727.410314828405	33469.5976906469	42692.5594032231	38617.8043400034	32486.5854651163	32552.6152362272	35489.200601857105	34722.1558753387	33803.7480138011	34630.7433838056	39186.4605635443	27394.506640184103	31236.4618685087	35887.0894050575	36135.0303426281	33453.6368141793	40442.370842740995	32758.1524123674	37801.5903392414	34278.816026473294	34911.8052657203	36350.594520489896	37028.487839382506
Myo-inositol		Myo-inositol	392128.4824054324	532746.559511449	413875.98387164634	521391.675496689	510923.41372137703	310737.8650521947	516047.893078628	419445.27837018797	529374.24312493	472223.36068161397	481755.816533842	579333.118237176	477903.069090948	466256.52032354905	472378.31621815	458641.62633292197	494969.906351723	527086.666930913	530010.9715947354	541866.668025312	508285.167029128	403877.049802166	382206.84758390405	436174.575576664	474556.592455662	472092.583174319	438145.128556796	527336.535322427	460132.791755528	551181.339305758	443140.857559771	525314.3144081819	436908.322412729	451739.084051241	431886.06422578305	510619.545628016	593888.831764227	517681.041713436	433966.57195673004	511082.87025059003	607400.798869121	421669.404380402	420517.0703993158	529929.336380345	511195.954905152	513105.52918397204	462265.082942811	448104.414707037	457094.859846785	460805.33600151504	465390.800209058	572995.3149729203
N-Nitrosodimethylamine		N-Nitrosodimethylamine	94243.4360549133	107684.795881503	116314.316112717	103037.907514451	128812.388367052	79197.6145231214	113210.085802023	104197.813945087	117443.487174855	106216.994039017	106651.711524566	152650.944364162	107394.182080925	108753.573699422	100576.061596821	84229.9178106936	82465.3825867052	112559.002348266	98700.1380057803	98032.1408959538	103062.578034682	73157.9523121387	85500.1546242775	100895.89234104	83638.4201589595	96523.6445086705	88564.8056358381	130774.679190751	94476.0834537572	117431.710621387	100129.881141618	98389.4909682081	130348.764089595	97408.4479768786	82411.7471098266	89776.248916185	106982.467846821	104195.418352601	108061.206647399	110098.550578035	81156.7337427746	92839.9837427746	101342.597182081	95014.0531069364	97003.7828757225	136998.614884393	73486.2723988439	91945.6408959538	82789.7897398844	83915.5169797688	85053.3580202312	107726.361271676
