database_identifier	chemical_formula	smiles	inchi	metabolite_identification	chemical_shift	multiplicity	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	aps_p2	aps_p6	aps_d10	aps_d11	aps_d12	aps_d13	aps_d14	aps_p3	aps_d15	aps_d16	aps_d17	aps_d19	aps_d18	aps_p14	aps_p4	aps_p27	aps_p26	aps_p25	aps_p24	aps_p23	aps_p21	aps_p20	aps_p22	aps_d9	aps_p9	aps_p7	aps_p8	aps_d8	aps_d7	aps_d6	aps_d5	aps_d4	aps_d3	aps_d2	aps_p1	aps_d1	aps_p13	aps_p10	aps_p11	aps_p18	aps_p19	aps_p16	aps_p12	aps_p17	aps_p15	aps_d26	aps_d25	aps_d27	aps_d22	aps_d21	aps_d24	aps_d23	aps_d20	aps_p5
CHEBI:28300	C5H10N2O3	NC(CCC(N)=O)C(O)=O	InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)	Glutamine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							354.4	384.3	229.4	210.5	408.3	907.3	94.2	837.9	282.6	521.4	99.6	37.4	37.4	295.6	152.8	581.9	1097.5	414.4	1135	162.9	347.1	160.8	123.1	539.6	515.2	1617	503.6	577.5	592.9	479.2	0.01	453.3	378.5	678.4	182.3	238.8	447.6	84.8	512.5	489.8	179.2	437.7	509	326.7	163.4	343.9	252.1	382.3	197.6	165.1	290.2	304.6	225.9	305.9
CHEBI:17754	C3H8O3	OCC(O)CO	InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2	Glycerol			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							29.7	227.2	450.6	310.4	132.5	1061.8	1302.3	48.4	916.8	1221.1	1605.5	1638.4	1638.4	115.6	54.8	1355.2	1013.6	1305.7	1080.2	1258.4	444.4	163.5	827.3	558.3	491	1869.9	483.3	515.8	545.6	479.7	543.8	1956.5	553.5	2855	87.8	324	298	493.6	491.9	180.2	92.5	466.2	609	222.8	330.2	1121.8	2094.7	1041	2673.1	2084.6	1813.3	1607.6	1613.3	255.6
CHEBI:15428	C2H5NO2	NCC(O)=O	InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)	Glycine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							36.4	101.2	69.1	38.2	47.1	200.6	295.3	28.8	211.3	329.1	224.3	260.2	260.2	52.7	29.7	350.2	268.9	250.4	257.6	327.3	158.3	97.5	228.7	278.3	223.8	467	201.1	245.6	266.9	243.8	231.1	291.5	685	219.9	39.8	105.5	102.2	252.5	261.2	89.4	62.2	96	236.7	98.3	70.9	445.5	142.3	218.7	438.6	270.6	270.6	310	185.4	124.1
CHEBI:17368	C5H4N4O	O=c1[nH]cnc2nc[nH]c12	InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)	Hypoxanthine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							21.3	39.9	62.1	28.8	9.1	8.3	32.6	9	20.4	22.3	98.2	17.4	17.4	48.9	11.1	8.5	65.4	33.6	65.5	14.9	9.5	7.1	28.6	10.8	5.4	32.3	14	82.3	2	23.2	76.2	34	103.6	8.8	22.5	20.5	26	22.8	28.8	4.6	5.3	28.3	15.5	11.5	34.5	125.3	111.0	74.7	107.3	16.5	86.5	33	88.1	32.3
CHEBI:27570	C6H9N3O2	NC(Cc1c[nH]cn1)C(O)=O	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)	Histidine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							36.6	77.3	64.2	81	25.1	6.4	96.8	37.3	63.5	76.5	233.3	33.7	33.7	72.3	31.4	28.6	85.1	45	78.7	80.6	11.6	10.4	42	12.9	50.2	57.4	81.1	72.6	46.7	73.6	103	57.4	111.4	107.6	38.4	31.9	49.8	29.6	40.4	9	9.5	117.7	79.2	18.7	54.3	170	200.5	95.9	150.2	131.6	128.4	37.4	114.8	36.8
CHEBI:16135	C4H8O2	CC(C)C(O)=O	InChI=1S/C4H8O2/c1-3(2)4(5)6/h3H,1-2H3,(H,5,6)	Isobutyrate			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							5.4	18	18	12.2	8.1	11.8	14.4	9.5	9.2	10.6	29.5	10.6	10.6	24	5.9	8.7	26.4	23.6	19.4	12.5	4.1	5.4	15.3	5	10.7	36.9	14.9	10.8	9.7	10	17.2	20.9	33.9	30.6	10.4	4.3	11.7	10.1	6.5	6	6.6	13.4	7.7	7.8	15.5	16.3	33.5	26.7	24.8	26	21.2	21	42.2	11.4
CHEBI:17824	C3H8O	CC(C)O	InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3	Isopropanol			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							5.1	7	20.2	14.2	4.6	27.2	10.5	2.9	16.9	24.8	24.5	2.9	2.9	19.1	2.5	5	24.4	9.2	18.1	4.8	3	2.1	7.6	0.01	4.7	26.7	5.7	11.1	7.6	7.6	16.6	14.1	30.3	22.4	4.4	1.9	4.1	7.5	2.2	8.5	11.1	7	1	6.7	7.9	25.2	28.1	28.8	23.1	21.8	35.5	15.2	41.3	4.1
CHEBI:24898	C6H13NO2			Isoleucine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							46	44.9	49	109.7	75.8	27.6	32.4	29.5	23.1	25.6	59.5	30.2	30.2	33	50.4	22.4	47.2	58.6	39.8	13	61.5	117.2	20.3	6.2	0.01	67.9	39.7	22.2	31.6	17.8	42.2	45.8	66.7	58.8	24.7	204.6	11.2	17.6	11.7	14.2	68.8	99.3	13.7	16.7	31.9	165.5	65.5	42	40.3	40.9	106.9	36.9	189	22.3
CHEBI:28484	C5H10O2	CC(C)CC(O)=O	InChI=1S/C5H10O2/c1-4(2)3-5(6)7/h4H,3H2,1-2H3,(H,6,7)	Isovalerate			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							5.6	11.3	16.7	7.8	10.9	3.2	6.6	10.3	12.5	4.4	59	17.4	17.4	9	12.1	3.2	17.6	12.7	14.8	4.3	2.6	1.5	9.5	2.1	7.1	17.7	19.6	9	3.8	4.7	14.8	8	27.1	28.1	6.7	6.9	15.7	7.2	7.2	1.7	5.6	6.9	2.6	3.6	3.6	28.5	32.1	51.8	22.1	21.3	47	18.6	38.4	6.6
CHEBI:78320	C3H6O3	CC(O)C(O)=O	InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)	Lactate			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							185.4	252.1	117.8	72.9	171.6	275.2	333.2	205.9	297.6	305.6	439.4	295	295	465.7	71.1	201	333.9	621.7	134	373.7	45.7	203.6	412.7	92.9	296.2	347.2	360	258.5	150.9	242.7	201.8	622.8	436.3	258	184.2	182.1	273.8	151.1	161.1	179.1	325	228.9	355	127	276.6	459.4	279.2	541	543.9	568.3	442	413.9	579.7	123.7
